header,real:3
5000,-110.167132,56.219164
7000,-110.167132,56.219164
9000,-110.167132,56.219164
9500,-110.167132,56.219164
10000,-110.167132,56.219164
11000,-110.167132,56.219164
12000,-110.167132,56.219164
13000,-110.167132,56.219164
14000,-110.167132,56.219164
1000,-111.102157,54.909749
5000,-111.102157,54.909749
7000,-111.102157,54.909749
9000,-111.102157,54.909749
9500,-111.102157,54.909749
10000,-111.102157,54.909749
11000,-111.102157,54.909749
12000,-111.102157,54.909749
13000,-111.102157,54.909749
14000,-111.102157,54.909749
1000,-113.50656,55.869877
4000,-113.50656,55.869877
5000,-113.50656,55.869877
6000,-113.50656,55.869877
9000,-113.50656,55.869877
9500,-113.50656,55.869877
10000,-113.50656,55.869877
11000,-113.50656,55.869877
12000,-113.50656,55.869877
13000,-113.50656,55.869877
14000,-113.50656,55.869877
1000,-112.097043,55.95724
5000,-112.097043,55.95724
7000,-112.097043,55.95724
9000,-112.097043,55.95724
9500,-112.097043,55.95724
10000,-112.097043,55.95724
11000,-112.097043,55.95724
12000,-112.097043,55.95724
13000,-112.097043,55.95724
14000,-112.097043,55.95724
1000,-112.785362,55.288324
5000,-112.785362,55.288324
7000,-112.785362,55.288324
9000,-112.785362,55.288324
9500,-112.785362,55.288324
10000,-112.785362,55.288324
14000,-112.785362,55.288324
1000,-114.627008,55.376039
4000,-114.627008,55.376039
5000,-114.627008,55.376039
7000,-114.627008,55.376039
9000,-114.627008,55.376039
9500,-114.627008,55.376039
10000,-114.627008,55.376039
11000,-114.627008,55.376039
12000,-114.627008,55.376039
13000,-114.627008,55.376039
14000,-114.627008,55.376039
1000,-111.622307,56.160946
5000,-111.622307,56.160946
7000,-111.622307,56.160946
9000,-111.622307,56.160946
9500,-111.622307,56.160946
10000,-111.622307,56.160946
11000,-111.622307,56.160946
12000,-111.622307,56.160946
13000,-111.622307,56.160946
14000,-111.622307,56.160946
1000,-114.575707,55.375998
4000,-114.575707,55.375998
5000,-114.575707,55.375998
7000,-114.575707,55.375998
9000,-114.575707,55.375998
9500,-114.575707,55.375998
10000,-114.575707,55.375998
14000,-114.575707,55.375998
1000,-114.601357,55.375989
4000,-114.601357,55.375989
5000,-114.601357,55.375989
7000,-114.601357,55.375989
9000,-114.601357,55.375989
9500,-114.601357,55.375989
10000,-114.601357,55.375989
11000,-114.601357,55.375989
12000,-114.601357,55.375989
13000,-114.601357,55.375989
14000,-114.601357,55.375989
1000,-112.007951,55.564488
5000,-112.007951,55.564488
7000,-112.007951,55.564488
9000,-112.007951,55.564488
9500,-112.007951,55.564488
10000,-112.007951,55.564488
11000,-112.007951,55.564488
12000,-112.007951,55.564488
13000,-112.007951,55.564488
14000,-112.007951,55.564488
1000,-114.269858,55.739367
4000,-114.269858,55.739367
5000,-114.269858,55.739367
6000,-114.269858,55.739367
9000,-114.269858,55.739367
9500,-114.269858,55.739367
10000,-114.269858,55.739367
11000,-114.269858,55.739367
12000,-114.269858,55.739367
13000,-114.269858,55.739367
14000,-114.269858,55.739367
1000,-110.507031,55.666418
5000,-110.507031,55.666418
7000,-110.507031,55.666418
9000,-110.507031,55.666418
9500,-110.507031,55.666418
10000,-110.507031,55.666418
11000,-110.507031,55.666418
12000,-110.507031,55.666418
13000,-110.507031,55.666418
14000,-110.507031,55.666418
1000,-112.706535,55.579167
5000,-112.706535,55.579167
7000,-112.706535,55.579167
9000,-112.706535,55.579167
9500,-112.706535,55.579167
10000,-112.706535,55.579167
14000,-112.706535,55.579167
1000,-110.432894,55.840947
5000,-110.432894,55.840947
7000,-110.432894,55.840947
9000,-110.432894,55.840947
9500,-110.432894,55.840947
10000,-110.432894,55.840947
11000,-110.432894,55.840947
12000,-110.432894,55.840947
13000,-110.432894,55.840947
14000,-110.432894,55.840947
1000,-112.007948,55.666426
5000,-112.007948,55.666426
7000,-112.007948,55.666426
9000,-112.007948,55.666426
9500,-112.007948,55.666426
10000,-112.007948,55.666426
11000,-112.007948,55.666426
12000,-112.007948,55.666426
13000,-112.007948,55.666426
14000,-112.007948,55.666426
1000,-113.298073,55.157331
4000,-113.298073,55.157331
5000,-113.298073,55.157331
7000,-113.298073,55.157331
9000,-113.298073,55.157331
9500,-113.298073,55.157331
10000,-113.298073,55.157331
11000,-113.298073,55.157331
12000,-113.298073,55.157331
13000,-113.298073,55.157331
14000,-113.298073,55.157331
1000,-111.412876,55.695513
5000,-111.412876,55.695513
7000,-111.412876,55.695513
9000,-111.412876,55.695513
9500,-111.412876,55.695513
10000,-111.412876,55.695513
11000,-111.412876,55.695513
12000,-111.412876,55.695513
13000,-111.412876,55.695513
14000,-111.412876,55.695513
1000,-111.887987,55.259304
5000,-111.887987,55.259304
7000,-111.887987,55.259304
9000,-111.887987,55.259304
9500,-111.887987,55.259304
10000,-111.887987,55.259304
11000,-111.887987,55.259304
12000,-111.887987,55.259304
13000,-111.887987,55.259304
14000,-111.887987,55.259304
1000,-114.652626,55.346877
4000,-114.652626,55.346877
5000,-114.652626,55.346877
7000,-114.652626,55.346877
11000,-114.652626,55.346877
12000,-114.652626,55.346877
13000,-114.652626,55.346877
14000,-114.652626,55.346877
1000,-110.507031,55.608242
5000,-110.507031,55.608242
7000,-110.507031,55.608242
9000,-110.507031,55.608242
9500,-110.507031,55.608242
10000,-110.507031,55.608242
11000,-110.507031,55.608242
12000,-110.507031,55.608242
13000,-110.507031,55.608242
14000,-110.507031,55.608242
1000,-112.08558,55.608269
5000,-112.08558,55.608269
7000,-112.08558,55.608269
9000,-112.08558,55.608269
9500,-112.08558,55.608269
10000,-112.08558,55.608269
11000,-112.08558,55.608269
12000,-112.08558,55.608269
13000,-112.08558,55.608269
1000,-110.879581,54.822471
5000,-110.879581,54.822471
7000,-110.879581,54.822471
9000,-110.879581,54.822471
9500,-110.879581,54.822471
10000,-110.879581,54.822471
11000,-110.879581,54.822471
12000,-110.879581,54.822471
13000,-110.879581,54.822471
14000,-110.879581,54.822471
1000,-112.272587,55.346568
5000,-112.272587,55.346568
7000,-112.272587,55.346568
9000,-112.272587,55.346568
9500,-112.272587,55.346568
10000,-112.272587,55.346568
11000,-112.272587,55.346568
12000,-112.272587,55.346568
13000,-112.272587,55.346568
14000,-112.272587,55.346568
1000,-111.999086,55.957245
5000,-111.999086,55.957245
7000,-111.999086,55.957245
9000,-111.999086,55.957245
9500,-111.999086,55.957245
10000,-111.999086,55.957245
11000,-111.999086,55.957245
12000,-111.999086,55.957245
13000,-111.999086,55.957245
14000,-111.999086,55.957245
1000,-111.231745,55.78284
5000,-111.231745,55.78284
7000,-111.231745,55.78284
9000,-111.231745,55.78284
9500,-111.231745,55.78284
10000,-111.231745,55.78284
11000,-111.231745,55.78284
12000,-111.231745,55.78284
13000,-111.231745,55.78284
2000,-111.876105,56.757057
3000,-111.876105,56.757057
5000,-111.876105,56.757057
7000,-111.876105,56.757057
9000,-111.876105,56.757057
9500,-111.876105,56.757057
10000,-111.876105,56.757057
11000,-111.876105,56.757057
12000,-111.876105,56.757057
13000,-111.876105,56.757057
14000,-111.876105,56.757057
1000,-114.473141,55.274053
4000,-114.473141,55.274053
7000,-114.473141,55.274053
9000,-114.473141,55.274053
9500,-114.473141,55.274053
14000,-114.473141,55.274053
1000,-110.642824,55.637328
5000,-110.642824,55.637328
7000,-110.642824,55.637328
9000,-110.642824,55.637328
9500,-110.642824,55.637328
10000,-110.642824,55.637328
11000,-110.642824,55.637328
12000,-110.642824,55.637328
13000,-110.642824,55.637328
14000,-110.642824,55.637328
1000,-112.0661,55.637306
5000,-112.0661,55.637306
7000,-112.0661,55.637306
9000,-112.0661,55.637306
9500,-112.0661,55.637306
10000,-112.0661,55.637306
11000,-112.0661,55.637306
12000,-112.0661,55.637306
13000,-112.0661,55.637306
1000,-111.483457,55.98631
5000,-111.483457,55.98631
7000,-111.483457,55.98631
9000,-111.483457,55.98631
9500,-111.483457,55.98631
10000,-111.483457,55.98631
11000,-111.483457,55.98631
12000,-111.483457,55.98631
13000,-111.483457,55.98631
14000,-111.483457,55.98631
1000,-111.330216,55.201142
5000,-111.330216,55.201142
7000,-111.330216,55.201142
9000,-111.330216,55.201142
9500,-111.330216,55.201142
10000,-111.330216,55.201142
11000,-111.330216,55.201142
12000,-111.330216,55.201142
13000,-111.330216,55.201142
14000,-111.330216,55.201142
1000,-114.276233,55.463197
5000,-114.276233,55.463197
7000,-114.276233,55.463197
9000,-114.276233,55.463197
9500,-114.276233,55.463197
10000,-114.276233,55.463197
11000,-114.276233,55.463197
12000,-114.276233,55.463197
13000,-114.276233,55.463197
14000,-114.276233,55.463197
1000,-111.674106,54.764109
5000,-111.674106,54.764109
7000,-111.674106,54.764109
9000,-111.674106,54.764109
9500,-111.674106,54.764109
10000,-111.674106,54.764109
11000,-111.674106,54.764109
12000,-111.674106,54.764109
13000,-111.674106,54.764109
14000,-111.674106,54.764109
4000,-113.351835,55.025827
5000,-113.351835,55.025827
7000,-113.351835,55.025827
9000,-113.351835,55.025827
9500,-113.351835,55.025827
10000,-113.351835,55.025827
14000,-113.351835,55.025827
5000,-112.304562,55.128244
7000,-112.304562,55.128244
9000,-112.304562,55.128244
9500,-112.304562,55.128244
10000,-112.304562,55.128244
11000,-112.304562,55.128244
12000,-112.304562,55.128244
13000,-112.304562,55.128244
1000,-113.51518,55.477211
4000,-113.51518,55.477211
5000,-113.51518,55.477211
7000,-113.51518,55.477211
9000,-113.51518,55.477211
9500,-113.51518,55.477211
10000,-113.51518,55.477211
11000,-113.51518,55.477211
12000,-113.51518,55.477211
13000,-113.51518,55.477211
14000,-113.51518,55.477211
1000,-111.144131,55.913513
5000,-111.144131,55.913513
7000,-111.144131,55.913513
10000,-111.144131,55.913513
11000,-111.144131,55.913513
12000,-111.144131,55.913513
13000,-111.144131,55.913513
14000,-111.144131,55.913513
1000,-111.108676,55.65177
5000,-111.108676,55.65177
7000,-111.108676,55.65177
9000,-111.108676,55.65177
9500,-111.108676,55.65177
10000,-111.108676,55.65177
11000,-111.108676,55.65177
12000,-111.108676,55.65177
13000,-111.108676,55.65177
14000,-111.108676,55.65177
2000,-112.46087,57.222645
3000,-112.46087,57.222645
5000,-112.46087,57.222645
6000,-112.46087,57.222645
10000,-112.46087,57.222645
11000,-112.46087,57.222645
12000,-112.46087,57.222645
13000,-112.46087,57.222645
14000,-112.46087,57.222645
1000,-112.376594,55.491959
5000,-112.376594,55.491959
7000,-112.376594,55.491959
9000,-112.376594,55.491959
9500,-112.376594,55.491959
10000,-112.376594,55.491959
11000,-112.376594,55.491959
12000,-112.376594,55.491959
13000,-112.376594,55.491959
14000,-112.376594,55.491959
2000,-111.025622,57.237367
3000,-111.025622,57.237367
5000,-111.025622,57.237367
7000,-111.025622,57.237367
9000,-111.025622,57.237367
9500,-111.025622,57.237367
10000,-111.025622,57.237367
11000,-111.025622,57.237367
12000,-111.025622,57.237367
13000,-111.025622,57.237367
14000,-111.025622,57.237367
1000,-111.826646,54.880391
5000,-111.826646,54.880391
7000,-111.826646,54.880391
9000,-111.826646,54.880391
9500,-111.826646,54.880391
10000,-111.826646,54.880391
11000,-111.826646,54.880391
12000,-111.826646,54.880391
13000,-111.826646,54.880391
14000,-111.826646,54.880391
1000,-110.919978,55.230192
5000,-110.919978,55.230192
7000,-110.919978,55.230192
9000,-110.919978,55.230192
9500,-110.919978,55.230192
11000,-110.919978,55.230192
12000,-110.919978,55.230192
13000,-110.919978,55.230192
14000,-110.919978,55.230192
1000,-111.875012,56.102667
5000,-111.875012,56.102667
7000,-111.875012,56.102667
9000,-111.875012,56.102667
9500,-111.875012,56.102667
10000,-111.875012,56.102667
11000,-111.875012,56.102667
12000,-111.875012,56.102667
13000,-111.875012,56.102667
14000,-111.875012,56.102667
2000,-113.025834,56.713504
3000,-113.025834,56.713504
4000,-113.025834,56.713504
5000,-113.025834,56.713504
6000,-113.025834,56.713504
10000,-113.025834,56.713504
11000,-113.025834,56.713504
12000,-113.025834,56.713504
13000,-113.025834,56.713504
14000,-113.025834,56.713504
1000,-111.368963,54.895029
5000,-111.368963,54.895029
7000,-111.368963,54.895029
9000,-111.368963,54.895029
9500,-111.368963,54.895029
10000,-111.368963,54.895029
11000,-111.368963,54.895029
12000,-111.368963,54.895029
13000,-111.368963,54.895029
14000,-111.368963,54.895029
10000,-114.773658,56.030777
1000,-112.411225,54.807482
5000,-112.411225,54.807482
7000,-112.411225,54.807482
9000,-112.411225,54.807482
9500,-112.411225,54.807482
10000,-112.411225,54.807482
14000,-112.411225,54.807482
1000,-112.258853,55.069453
5000,-112.258853,55.069453
7000,-112.258853,55.069453
9000,-112.258853,55.069453
9500,-112.258853,55.069453
10000,-112.258853,55.069453
11000,-112.258853,55.069453
12000,-112.258853,55.069453
13000,-112.258853,55.069453
14000,-112.258853,55.069453
1000,-114.221262,55.070554
4000,-114.221262,55.070554
5000,-114.221262,55.070554
7000,-114.221262,55.070554
9000,-114.221262,55.070554
9500,-114.221262,55.070554
10000,-114.221262,55.070554
11000,-114.221262,55.070554
12000,-114.221262,55.070554
13000,-114.221262,55.070554
14000,-114.221262,55.070554
1000,-110.936727,54.82246
5000,-110.936727,54.82246
7000,-110.936727,54.82246
9000,-110.936727,54.82246
9500,-110.936727,54.82246
10000,-110.936727,54.82246
11000,-110.936727,54.82246
12000,-110.936727,54.82246
13000,-110.936727,54.82246
14000,-110.936727,54.82246
1000,-114.176404,56.219346
4000,-114.176404,56.219346
5000,-114.176404,56.219346
6000,-114.176404,56.219346
10000,-114.176404,56.219346
11000,-114.176404,56.219346
12000,-114.176404,56.219346
13000,-114.176404,56.219346
14000,-114.176404,56.219346
9000,-110.254638,55.695515
9500,-110.254638,55.695515
1000,-112.867126,57.266411
2000,-112.867126,57.266411
3000,-112.867126,57.266411
5000,-112.867126,57.266411
6000,-112.867126,57.266411
14000,-112.867126,57.266411
1000,-110.461659,55.535373
5000,-110.461659,55.535373
7000,-110.461659,55.535373
9000,-110.461659,55.535373
9500,-110.461659,55.535373
10000,-110.461659,55.535373
11000,-110.461659,55.535373
