Id	SitID	DPHI	GR	ILD	NPHI	lng	lat	HorID	Pick
125	154013	0.116	55.281	11.439	0.289	-113.50656	55.869877	14000	464.0
126	112358	0.223	93.123	5.282	0.494	-112.097043	55.95724	1000	250.0
127	112358	0.235	94.64	4.046	0.445	-112.097043	55.95724	5000	400.0
128	112358	0.239	75.735	2.283	0.466	-112.097043	55.95724	7000	410.0
129	112358	0.219	96.95	3.553	0.511	-112.097043	55.95724	9000	416.0
130	112358	0.219	96.95	3.553	0.511	-112.097043	55.95724	9500	416.0
131	112358	0.213	110.328	4.097	0.474	-112.097043	55.95724	10000	418.0
132	112358	0.26	88.904	7.572	0.388	-112.097043	55.95724	11000	419.5
133	112358	0.201	76.992	8.752	0.415	-112.097043	55.95724	12000	421.5
134	112358	0.201	76.992	8.752	0.415	-112.097043	55.95724	13000	421.5
135	112358	0.256	79.884	11.897	0.379	-112.097043	55.95724	14000	472.0
136	163855	0.393	97.018	3.568	0.477	-112.785362	55.288324	1000	326.5
137	163855	0.244	95.824	3.506	0.441	-112.785362	55.288324	5000	468.0
138	163855	0.214	86.482	3.008	0.481	-112.785362	55.288324	7000	486.0
139	163855	0.159	80.238	5.662	0.421	-112.785362	55.288324	9000	491.0
140	163855	0.159	80.238	5.662	0.421	-112.785362	55.288324	9500	491.0
141	163855	0.18	91.657	4.424	0.427	-112.785362	55.288324	10000	496.0
142	163855	0.151	93.093	8.571	0.331	-112.785362	55.288324	14000	498.5
143	163925	0.853	66.749	2.951	0.521	-114.627008	55.376039	1000	374.0
144	163925	0.267	71.88	5.212	0.37	-114.627008	55.376039	4000	523.0
145	163925	0.46	70.806	3.728	0.386	-114.627008	55.376039	5000	560.0
146	163925	0.686	55.963	2.505	0.673	-114.627008	55.376039	7000	573.5
147	163925	0.575	61.138	2.883	0.413	-114.627008	55.376039	9000	580.0
148	163925	0.575	61.138	2.883	0.413	-114.627008	55.376039	9500	580.0
149	163925	0.451	81.576	4.813	0.405	-114.627008	55.376039	10000	586.0
150	163925	0.208	68.311	11.555	0.3	-114.627008	55.376039	11000	591.0
151	163925	0.208	68.311	11.555	0.3	-114.627008	55.376039	12000	591.0
152	163925	0.208	68.311	11.555	0.3	-114.627008	55.376039	13000	591.0
153	163925	0.031	29.448	9.506	0.16	-114.627008	55.376039	14000	628.5
154	164610	0.433	101.455	10.633	0.491	-111.622307	56.160946	1000	290.5
155	164610	0.238	74.231	6.59	0.442	-111.622307	56.160946	5000	436.0
156	164610	0.254	78.192	3.582	0.473	-111.622307	56.160946	7000	443.5
157	164610	0.185	96.488	3.679	0.495	-111.622307	56.160946	9000	451.5
158	164610	0.185	96.488	3.679	0.495	-111.622307	56.160946	9500	451.5
159	164610	0.233	92.966	4.221	0.424	-111.622307	56.160946	10000	453.5
160	164610	0.261	80.422	7.231	0.429	-111.622307	56.160946	11000	456.0
161	164610	0.261	80.422	7.231	0.429	-111.622307	56.160946	12000	456.0
162	164610	0.261	80.422	7.231	0.429	-111.622307	56.160946	13000	456.0
163	164610	0.153	95.979	10.021	0.324	-111.622307	56.160946	14000	505.0
164	153567	0.625	71.606	2.366	0.485	-114.575707	55.375998	1000	365.0
165	153567	0.291	61.042	8.397	0.423	-114.575707	55.375998	4000	519.0
166	153567	0.292	63.082	5.444	0.419	-114.575707	55.375998	5000	551.0
167	153567	0.138	61.005	6.55	0.266	-114.575707	55.375998	7000	565.0
168	153567	0.367	71.203	4.985	0.475	-114.575707	55.375998	9000	571.0
169	153567	0.367	71.203	4.985	0.475	-114.575707	55.375998	9500	571.0
170	153567	0.434	64.409	10.55	0.462	-114.575707	55.375998	10000	576.0
171	153567	0.108	28.521	9.468	0.217	-114.575707	55.375998	14000	585.0
172	163923	0.343	66.138	2.766	1.085	-114.601357	55.375989	1000	371.5
173	163923	0.171	71.162	5.296	0.982	-114.601357	55.375989	4000	526.0
174	163923	0.496	61.506	4.144	0.499	-114.601357	55.375989	5000	560.5
175	163923	0.43	59.556	2.063	0.5	-114.601357	55.375989	7000	574.0
176	163923	0.507	66.969	3.371	0.577	-114.601357	55.375989	9000	580.0
177	163923	0.507	66.969	3.371	0.577	-114.601357	55.375989	9500	580.0
178	163923	0.289	82.347	5.127	0.504	-114.601357	55.375989	10000	585.5
179	163923	0.335	53.327	5.847	0.392	-114.601357	55.375989	11000	596.0
180	163923	0.335	53.327	5.847	0.392	-114.601357	55.375989	12000	596.0
181	163923	0.335	53.327	5.847	0.392	-114.601357	55.375989	13000	596.0
182	163923	0.096	38.32	6.826	0.167	-114.601357	55.375989	14000	615.0
183	109933	0.193	79.785	10.053	0.428	-112.007951	55.564488	1000	338.0
184	109933	0.254	63.323	4.686	0.436	-112.007951	55.564488	5000	488.5
185	109933	0.238	83.878	5.495	0.545	-112.007951	55.564488	7000	503.0
186	109933	0.199	84.484	6.364	0.483	-112.007951	55.564488	9000	507.0
187	109933	0.199	84.484	6.364	0.483	-112.007951	55.564488	9500	507.0
188	109933	0.141	91.28	6.97	0.432	-112.007951	55.564488	10000	511.0
189	109933	0.165	106.736	17.965	0.443	-112.007951	55.564488	11000	519.0
190	109933	0.165	106.736	17.965	0.443	-112.007951	55.564488	12000	519.0
191	109933	0.165	106.736	17.965	0.443	-112.007951	55.564488	13000	519.0
192	109933	0.302	61.332	5.01	0.395	-112.007951	55.564488	14000	563.0
193	153893	0.315	76.429	6.868	0.392	-114.269858	55.739367	1000	361.0
194	153893	0.179	90.83	9.739	0.333	-114.269858	55.739367	4000	512.0
195	153893	0.128	88.105	8.486	0.346	-114.269858	55.739367	5000	542.5
196	153893	0.229	51.559	11.048	0.32	-114.269858	55.739367	6000	546.0
197	153893	0.294	26.823	5.771	0.302	-114.269858	55.739367	9000	556.0
198	153893	0.294	26.823	5.771	0.302	-114.269858	55.739367	9500	556.0
199	153893	0.259	41.574	5.075	0.297	-114.269858	55.739367	10000	562.0
200	153893	0.164	86.847	8.39	0.32	-114.269858	55.739367	11000	568.0
201	153893	0.164	86.847	8.39	0.32	-114.269858	55.739367	12000	568.0
202	153893	0.164	86.847	8.39	0.32	-114.269858	55.739367	13000	568.0
203	153893	0.056	48.655	2.941	0.135	-114.269858	55.739367	14000	598.5
204	142536	0.224	99.234	3.89	0.496	-110.507031	55.666418	1000	204.0
205	142536	0.275	82.687	5.359	0.501	-110.507031	55.666418	5000	337.0
206	142536	0.268	85.755	2.729	0.497	-110.507031	55.666418	7000	349.0
207	142536	0.246	101.088	3.75	0.484	-110.507031	55.666418	9000	353.0
208	142536	0.246	101.088	3.75	0.484	-110.507031	55.666418	9500	353.0
209	142536	0.225	91.427	3.793	0.461	-110.507031	55.666418	10000	356.0
210	142536	0.261	82.125	3.277	0.427	-110.507031	55.666418	11000	362.5
211	142536	0.261	82.125	3.277	0.427	-110.507031	55.666418	12000	362.5
212	142536	0.261	82.125	3.277	0.427	-110.507031	55.666418	13000	362.5
213	142536	0.231	24.179	10.575	0.335	-110.507031	55.666418	14000	462.0
214	153741	0.198	102.706	8.454	0.437	-112.706535	55.579167	1000	258.0
215	153741	0.175	110.653	7.659	0.441	-112.706535	55.579167	5000	412.0
216	153741	0.172	110.524	6.707	0.49	-112.706535	55.579167	7000	425.0
217	153741	0.138	116.124	4.778	0.423	-112.706535	55.579167	9000	432.0
218	153741	0.138	116.124	4.778	0.423	-112.706535	55.579167	9500	432.0
219	153741	0.114	118.171	10.084	0.373	-112.706535	55.579167	10000	436.0
220	153741	0.114	118.171	10.084	0.373	-112.706535	55.579167	14000	436.0
221	111658	0.194	73.967	4.517	0.444	-110.432894	55.840947	1000	156.0
222	111658	0.259	96.678	3.21	0.59	-110.432894	55.840947	5000	284.5
223	111658	0.239	77.757	2.724	0.582	-110.432894	55.840947	7000	297.0
224	111658	0.226	83.65	3.914	0.498	-110.432894	55.840947	9000	303.5
225	111658	0.226	83.65	3.914	0.498	-110.432894	55.840947	9500	303.5
226	111658	0.199	88.695	4.387	0.486	-110.432894	55.840947	10000	305.0
227	111658	0.221	81.374	3.1	0.449	-110.432894	55.840947	11000	309.5
228	111658	0.221	81.374	3.1	0.449	-110.432894	55.840947	12000	309.5
229	111658	0.221	81.374	3.1	0.449	-110.432894	55.840947	13000	309.5
230	111658	0.175	40.087	2.87	0.443	-110.432894	55.840947	14000	395.5
231	170644	0.278	109.004	7.866	0.39	-112.007948	55.666426	1000	302.0
232	170644	0.263	83.103	4.1	0.37	-112.007948	55.666426	5000	449.0
233	170644	0.249	95.029	2.107	0.44	-112.007948	55.666426	7000	464.5
234	170644	0.121	94.737	5.467	0.376	-112.007948	55.666426	9000	468.5
235	170644	0.121	94.737	5.467	0.376	-112.007948	55.666426	9500	468.5
236	170644	0.116	96.705	5.493	0.362	-112.007948	55.666426	10000	474.5
237	170644	0.248	76.877	10.878	0.34	-112.007948	55.666426	11000	477.0
238	170644	0.248	76.877	10.878	0.34	-112.007948	55.666426	12000	477.0
239	170644	0.248	76.877	10.878	0.34	-112.007948	55.666426	13000	477.0
240	170644	0.135	28.74	4.407	0.337	-112.007948	55.666426	14000	529.0
241	106649	0.288	83.948	3.899	0.486	-113.298073	55.157331	1000	413.0
242	106649	0.133	81.894	11.065	0.228	-113.298073	55.157331	4000	536.0
243	106649	0.142	100.566	6.848	0.368	-113.298073	55.157331	5000	560.5
244	106649	0.156	106.863	3.701	0.482	-113.298073	55.157331	7000	575.0
245	106649	0.134	91.612	5.511	0.416	-113.298073	55.157331	9000	581.0
246	106649	0.134	91.612	5.511	0.416	-113.298073	55.157331	9500	581.0
247	106649	0.129	101.52	5.117	0.418	-113.298073	55.157331	10000	584.0
248	106649	0.096	96.92	7.944	0.259	-113.298073	55.157331	11000	593.5
249	106649	0.096	96.92	7.944	0.259	-113.298073	55.157331	12000	593.5
250	106649	0.096	96.92	7.944	0.259	-113.298073	55.157331	13000	593.5
251	106649	0.164	73.427	64.297	0.393	-113.298073	55.157331	14000	601.0
252	142555	0.253	99.514	5.313	0.477	-111.412876	55.695513	1000	204.0
253	142555	0.267	85.475	4.925	0.435	-111.412876	55.695513	5000	344.0
254	142555	0.265	94.323	2.726	0.565	-111.412876	55.695513	7000	360.0
255	142555	0.22	100.859	3.247	0.487	-111.412876	55.695513	9000	364.5
256	142555	0.22	100.859	3.247	0.487	-111.412876	55.695513	9500	364.5
257	142555	0.189	98.648	4.127	0.437	-111.412876	55.695513	10000	367.0
258	142555	0.235	74.74	14.31	0.399	-111.412876	55.695513	11000	372.0
259	142555	0.235	74.74	14.31	0.399	-111.412876	55.695513	12000	372.0
260	142555	0.235	74.74	14.31	0.399	-111.412876	55.695513	13000	372.0
261	142555	0.071	52.783	5.171	0.317	-111.412876	55.695513	14000	422.0
262	107285	0.36	48.049	5.608	0.413	-111.887987	55.259304	1000	311.0
263	107285	0.271	96.628	4.529	0.441	-111.887987	55.259304	5000	444.0
264	107285	0.261	89.729	3.407	0.439	-111.887987	55.259304	7000	459.0
265	107285	0.231	85.593	5.791	0.391	-111.887987	55.259304	9000	463.0
266	107285	0.243	91.701	4.367	0.471	-111.887987	55.259304	9500	465.5
267	107285	0.194	95.463	3.623	0.416	-111.887987	55.259304	10000	471.0
268	107285	0.236	90.842	12.514	0.364	-111.887987	55.259304	11000	480.0
269	107285	0.236	90.842	12.514	0.364	-111.887987	55.259304	12000	480.0
270	107285	0.236	90.842	12.514	0.364	-111.887987	55.259304	13000	480.0
271	107285	0.203	76.48	5.303	0.356	-111.887987	55.259304	14000	525.0
272	108294	0.289	100.477	3.029	0.449	-114.652626	55.346877	1000	365.0
273	108294	0.265	89.112	5.268	0.47	-114.652626	55.346877	4000	526.0
274	108294	0.161	110.396	4.56	0.357	-114.652626	55.346877	5000	560.0
275	108294	0.337	90.506	2.184	0.465	-114.652626	55.346877	7000	573.0
276	108294	0.308	97.84	2.776	0.487	-114.652626	55.346877	11000	580.0
277	108294	0.308	97.84	2.776	0.487	-114.652626	55.346877	12000	580.0
278	108294	0.308	97.84	2.776	0.487	-114.652626	55.346877	13000	580.0
279	108294	0.234	86.024	10.499	0.33	-114.652626	55.346877	14000	587.5
280	142461	0.23	104.407	3.581	0.473	-110.507031	55.608242	1000	211.0
281	142461	0.26	77.276	5.114	0.448	-110.507031	55.608242	5000	342.0
282	142461	0.247	83.81	3.145	0.454	-110.507031	55.608242	7000	355.5
283	142461	0.235	93.206	3.497	0.485	-110.507031	55.608242	9000	359.5
284	142461	0.235	93.206	3.497	0.485	-110.507031	55.608242	9500	359.5
285	142461	0.23	96.378	4.18	0.455	-110.507031	55.608242	10000	362.5
286	142461	0.272	91.568	4.765	0.45	-110.507031	55.608242	11000	368.5
287	142461	0.272	91.568	4.765	0.45	-110.507031	55.608242	12000	368.5
288	142461	0.272	91.568	4.765	0.45	-110.507031	55.608242	13000	368.5
289	142461	0.325	24.538	3.683	0.352	-110.507031	55.608242	14000	444.0
290	109946	0.219	93.663	6.644	0.413	-112.08558	55.608269	1000	296.5
291	109946	0.191	93.04	8.535	0.366	-112.08558	55.608269	5000	453.0
292	109946	0.208	105.452	3.818	0.407	-112.08558	55.608269	7000	464.0
293	109946	0.142	86.527	8.825	0.296	-112.08558	55.608269	9000	468.0
294	109946	0.142	86.527	8.825	0.296	-112.08558	55.608269	9500	468.0
295	109946	0.202	94.994	9.63	0.347	-112.08558	55.608269	10000	474.5
296	109946	0.202	94.994	9.63	0.347	-112.08558	55.608269	11000	474.5
297	109946	0.202	94.994	9.63	0.347	-112.08558	55.608269	12000	474.5
298	109946	0.202	94.994	9.63	0.347	-112.08558	55.608269	13000	474.5
299	102609	0.193	84.138	3.631	0.453	-110.879581	54.822471	1000	342.5
300	102609	0.326	80.526	6.895	0.532	-110.879581	54.822471	5000	460.0
301	102609	0.326	77.698	2.102	0.58	-110.879581	54.822471	7000	480.0
302	102609	0.274	83.543	2.33	0.532	-110.879581	54.822471	9000	487.0
303	102609	0.274	83.543	2.33	0.532	-110.879581	54.822471	9500	487.0
304	102609	0.266	86.954	2.687	0.555	-110.879581	54.822471	10000	490.0
305	102609	0.234	73.353	6.058	0.396	-110.879581	54.822471	11000	493.0
306	102609	0.234	73.353	6.058	0.396	-110.879581	54.822471	12000	493.0
307	102609	0.234	73.353	6.058	0.396	-110.879581	54.822471	13000	493.0
308	102609	0.181	103.112	4.921	0.418	-110.879581	54.822471	14000	543.0
309	108122	0.276	86.118	3.661	0.453	-112.272587	55.346568	1000	282.0
310	108122	0.411	84.389	5.326	0.463	-112.272587	55.346568	5000	419.5
311	108122	0.335	87.523	4.169	0.482	-112.272587	55.346568	7000	437.0
312	108122	0.332	88.412	3.78	0.473	-112.272587	55.346568	9000	444.0
