id,DEPT,HorID,lng,lat,DPHI_ner1,GR_ner1,ILD_ner1,NPHI_ner1,DPHI_ner2,GR_ner2,ILD_ner2,NPHI_ner2,DPHI_ner3,GR_ner3,ILD_ner3,NPHI_ner3
5537,497.0,13,0.3444876466122327,-0.005282139585837236,0.5273068490253232,0.20342266495554334,-0.12157103836964361,0.6306785579679554,-1.0228331086832034,0.4565661405597243,-0.13792119804452824,-0.3479167867038185,-0.6977304992458431,0.3591401043321026,-0.09511710421465926,-1.540708065026717
5538,224.5,0,-1.0229038709220288,-0.0053361838012539985,0.4260268161954318,0.7045776782225827,-0.12877040920340607,0.9423321949245212,-0.6734928274447329,0.7777509863415875,-0.14942803277216868,-0.372516351166813,2.248943668565361,-1.690653252648061,0.10698351488338408,-3.5558295001808102
5539,360.5,3,-1.0229038709220288,-0.0053361838012539985,0.4260268161954318,0.7045776782225827,-0.12877040920340607,0.9423321949245212,0.012711296416548386,-0.24223019539162435,-0.10401795401112805,-1.061304156130658,-0.06630032042915626,-0.008675266130516208,-0.12805478698323977,1.4945685966741356
5540,387.0,4,-1.0229038709220288,-0.0053361838012539985,-0.49815348337732634,0.44388826415262334,-0.11779961223630814,-0.06188507971330172,0.012711296416548386,-0.24223019539162435,-0.10401795401112805,-1.061304156130658,-0.40058688568504913,0.2547611696035274,-0.13127059624762782,1.5197576146135616
5541,396.0,6,-1.0229038709220288,-0.0053361838012539985,-0.49815348337732634,0.44388826415262334,-0.11779961223630814,-0.06188507971330172,0.012711296416548386,-0.24223019539162435,-0.10401795401112805,-1.061304156130658,0.15655738974143885,-0.18789038783806236,-0.11846420430333506,1.2174893993404474
5542,402.5,7,-1.0229038709220288,-0.0053361838012539985,-1.9667139594107501,-1.3505817285797932,-0.13508359794026456,-1.2854141729501891,0.42443377073331756,-1.2379622586473453,-0.1515285598481511,-0.6431115602597517,-0.11582425602262227,-0.3659221674396162,-0.11563006937083146,0.9781937289158987
5543,402.5,8,-1.0229038709220288,-0.0053361838012539985,-1.3716937665351387,0.6069705238061748,-0.10648533383630171,0.3882812847795164,1.2478787193668552,-0.14902923567813753,-0.09862844375038374,0.27937210710254023,-0.11582425602262227,-0.3659221674396162,-0.11563006937083146,0.9781937289158987
5544,405.5,9,-1.0229038709220288,-0.0053361838012539985,-2.4351341112489973,0.401099354441543,-0.07605287888060741,0.5614221941998302,0.0002348578008890596,-0.0032393181534653213,-0.12342019094980763,0.10717515586157952,0.05750951855450754,-1.177041973747131,-0.05351460203925538,0.7011145315822107
5545,409.0,10,-1.0229038709220288,-0.0053361838012539985,-0.39687345054743495,0.5229670133262149,-0.10152546194510277,-0.22348326183892786,0.3745280162706789,-0.033645604105241124,-0.14320015424864194,0.3531708004915244,1.0479882304238193,-0.17279257476160675,-0.11448504637517813,-0.04196149763086108
5546,409.0,11,-1.0229038709220288,-0.0053361838012539985,-0.118353360265234,0.030571616481160774,-0.10403974603399309,-0.47742326232205506,0.5491981568899144,-1.4033201604738537,-0.10879020412235124,-0.4340152623242992,0.40417706770876716,0.47824960803527417,-0.1226707426845295,0.12176711897540982
5547,409.0,12,-1.0229038709220288,-0.0053361838012539985,-0.23229339719886147,0.2039474346029436,-0.11749047894669049,-0.21194053454424025,0.5491981568899144,-1.4033201604738537,-0.10879020412235124,-0.4340152623242992,0.23084329313163734,0.47229209260510524,-0.12102223440000735,0.13436162794512221
5548,428.5,13,-1.0229038709220288,-0.0053361838012539985,-0.23229339719886147,0.2039474346029436,-0.11749047894669049,-0.21194053454424025,-0.21186459866532573,0.2086768911498257,-0.09675823762571518,-0.372516351166813,0.3917960838104007,0.595196452027493,-0.1202670064667041,0.22252319073311386
5549,289.56,0,0.12352588609904577,-1.241236030116373,-0.18165338078391613,0.25400238558571653,-0.11007127999586658,-0.0041714432398635756,-0.34910542343758144,-0.19428019937613347,-0.0915621969640745,-1.1966017606771275,-0.41296786958341586,0.7398906281602253,-0.11295834904764038,0.07138908309655675
5550,315.0,0,1.1984222423361641,-1.0163413217606347,-0.5234734915847992,0.35411228755126295,-0.11606846581444924,0.04199946593888758,-0.34910542343758144,-0.19428019937613347,-0.0915621969640745,-1.1966017606771275,0.30512919652183584,0.6110287533076687,-0.13894468653764475,0.37365729836967165
5551,432.0,4,1.1984222423361641,-1.0163413217606347,-0.5234734915847992,0.35411228755126295,-0.11606846581444924,0.04199946593888758,-0.34910542343758144,-0.19428019937613347,-0.0915621969640745,-1.1966017606771275,0.30512919652183584,0.6110287533076687,-0.13894468653764475,0.37365729836967165
5552,460.0,6,1.1984222423361641,-1.0163413217606347,-0.5234734915847992,0.35411228755126295,-0.11606846581444924,0.04199946593888758,0.8611091222814055,-0.5363403732386195,-0.11823336312621949,0.5253677517324852,0.30512919652183584,0.6110287533076687,-0.13894468653764475,0.37365729836967165
5553,465.0,7,1.1984222423361641,-1.0163413217606347,-0.4095334546511717,0.2843179244470575,-0.08890595410004398,-1.100730536235187,0.524245279658595,-0.24973687902465624,-0.1321908127758394,0.7344640496679375,-0.635825579754011,1.1692805930346588,-0.09501153471860611,-0.4953638205405317
5554,465.0,8,1.1984222423361641,-1.0163413217606347,-0.46017347106611706,-1.9369108923094542,0.16944704047642362,-1.4470123550758152,0.47433952519595557,0.01607563186860569,-0.11978111991904863,0.9435603476033907,1.7289423448339714,-0.9647340779720031,-0.13909085968602602,-0.1805010962977051
5555,469.0,9,1.1984222423361641,-1.0163413217606347,-0.9159336188006278,0.5896531254419733,-0.0808616189413266,0.14588401159107622,0.3370987004236999,-0.7090784415582773,-0.1291413633804439,0.25477254263954574,-1.168207887383766,-1.0086809554945502,-0.12185054890750124,-0.810226544783359
5556,476.0,10,1.1984222423361641,-1.0163413217606347,0.23612675463938546,-1.2042920976430431,-0.059703162674162154,-0.3966241712592423,0.38700445488633856,0.22331070699624114,-0.15162068822867664,0.9927594765293797,0.020366566859408297,-0.3606175304127537,-0.11480175486333756,-1.0117386882987678
5557,476.0,11,1.1984222423361641,-1.0163413217606347,-0.5108134874810631,0.8544599628992249,-0.11190547084759807,0.08817037511763809,0.38700445488633856,0.22331070699624114,-0.15162068822867664,0.9927594765293797,-0.4748727890752476,-0.11946057019153371,-0.12416495709020477,-0.13012306041885202
5558,476.0,12,1.1984222423361641,-1.0163413217606347,-0.7893335777632641,0.1824722459554959,-0.0857802730605765,-0.5928505352689313,0.38700445488633856,0.22331070699624114,-0.15162068822867664,0.9927594765293797,0.6394157617777283,-0.31593616468648705,-0.10253133112977611,-0.5583363653890971
