Stratigraphic Pick ->,1000,10000,11000,12000,13000,14000,2000,3000,4000,5000,6000,7000,9000,9500
130,0.00%,1.66%,1.55%,0.41%,0.29%,0.05%,0.00%,0.00%,0.00%,33.25%,0.00%,0.62%,49.58%,12.58%
1307,0.00%,10.89%,2.59%,1.75%,0.78%,0.08%,0.00%,0.00%,0.00%,52.68%,0.00%,16.61%,7.02%,7.58%
1341,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1342,0.01%,7.56%,0.22%,0.28%,0.24%,0.01%,0.00%,0.00%,0.00%,19.49%,0.00%,69.88%,2.19%,0.12%
1347,0.00%,0.07%,22.64%,72.49%,4.71%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.03%,0.05%
1364,0.01%,0.05%,0.00%,0.02%,0.03%,73.42%,0.15%,22.80%,2.25%,0.29%,0.00%,0.00%,0.30%,0.68%
1370,0.00%,10.80%,1.19%,1.63%,0.35%,0.02%,0.00%,0.00%,0.00%,18.12%,0.00%,45.91%,5.17%,16.82%
1371,0.00%,86.84%,0.89%,2.92%,0.55%,0.07%,0.00%,0.00%,0.00%,5.11%,0.00%,0.65%,2.07%,0.88%
1382,0.00%,0.00%,0.00%,0.01%,0.66%,99.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
1386,0.00%,3.89%,0.98%,2.29%,0.40%,0.09%,0.00%,0.01%,0.00%,1.21%,0.00%,0.75%,74.57%,15.81%
1413,0.00%,0.06%,0.01%,0.03%,0.02%,0.00%,0.00%,0.00%,0.00%,5.81%,0.00%,93.96%,0.07%,0.04%
1431,0.00%,0.11%,0.04%,0.04%,0.02%,0.02%,99.24%,0.21%,0.12%,0.10%,0.01%,0.02%,0.03%,0.04%
1464,99.96%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%
1468,0.05%,21.43%,0.74%,0.16%,0.25%,0.03%,0.00%,0.00%,0.00%,13.50%,0.00%,0.59%,5.83%,57.43%
1479,0.00%,19.34%,24.56%,41.52%,3.52%,0.01%,0.00%,0.00%,0.00%,1.23%,0.00%,1.67%,7.08%,1.06%
1481,0.00%,16.28%,8.27%,31.96%,24.37%,0.03%,0.00%,0.00%,0.00%,2.51%,0.00%,5.35%,0.54%,10.68%
1482,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
150,0.07%,5.58%,39.28%,1.25%,1.33%,9.00%,0.00%,0.00%,0.18%,17.63%,0.00%,0.31%,19.02%,6.33%
151,1.10%,13.73%,24.36%,9.58%,4.18%,0.06%,0.00%,0.00%,0.02%,0.10%,0.00%,0.01%,12.98%,33.87%
1512,0.00%,0.29%,7.54%,31.84%,54.74%,2.31%,0.00%,0.00%,0.03%,0.39%,0.00%,0.03%,1.91%,0.92%
152,0.08%,6.72%,14.03%,53.13%,14.82%,0.14%,0.00%,0.00%,0.09%,0.13%,0.00%,0.02%,4.81%,6.03%
1520,0.00%,41.43%,24.44%,21.46%,8.46%,0.07%,0.00%,0.00%,0.00%,0.80%,0.00%,0.40%,1.39%,1.54%
153,0.10%,11.03%,16.53%,5.59%,46.41%,1.27%,0.00%,0.00%,0.15%,0.53%,0.02%,0.10%,7.04%,11.24%
1553,0.00%,83.02%,0.21%,0.39%,0.12%,0.01%,0.00%,0.00%,0.00%,4.50%,0.00%,4.06%,2.78%,4.91%
1561,0.00%,55.52%,4.41%,0.93%,0.87%,0.01%,0.00%,0.00%,0.00%,1.60%,0.00%,3.63%,30.69%,2.34%
1565,0.00%,0.29%,10.69%,60.24%,27.05%,0.00%,0.00%,0.00%,0.00%,0.14%,0.00%,0.22%,0.82%,0.53%
1569,0.00%,0.63%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.35%,0.00%,91.82%,0.15%,0.03%
1598,0.00%,5.15%,2.71%,2.46%,0.30%,2.05%,0.00%,0.00%,0.02%,0.36%,85.23%,0.03%,1.22%,0.46%
1604,0.00%,8.33%,0.70%,0.48%,0.30%,0.40%,0.00%,0.00%,0.00%,0.04%,0.00%,0.17%,3.18%,86.41%
1620,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1631,0.00%,4.24%,24.85%,41.18%,8.36%,0.06%,0.00%,0.00%,0.00%,2.12%,0.00%,0.06%,11.65%,7.48%
1637,0.00%,4.79%,1.87%,1.43%,1.40%,0.02%,0.00%,0.00%,0.00%,1.82%,0.00%,0.25%,69.42%,19.01%
1665,0.00%,4.33%,18.81%,1.96%,0.66%,0.04%,0.00%,0.00%,0.00%,3.39%,0.00%,0.20%,37.43%,33.18%
1675,5.13%,7.96%,33.25%,10.21%,25.25%,0.58%,7.54%,0.03%,3.05%,1.78%,0.62%,0.78%,2.35%,1.47%
1679,99.97%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%
168,0.01%,14.60%,17.19%,0.68%,2.97%,15.29%,0.00%,0.00%,0.64%,17.85%,0.00%,0.02%,25.48%,5.27%
170,0.13%,18.67%,1.65%,6.58%,13.06%,0.58%,0.00%,0.00%,0.32%,2.53%,0.00%,9.62%,30.28%,16.57%
1709,0.00%,0.05%,0.09%,0.02%,0.06%,0.00%,0.00%,0.00%,0.00%,1.46%,0.00%,79.38%,12.49%,6.44%
1719,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
172,0.00%,0.97%,0.02%,0.02%,0.03%,98.56%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.03%,0.21%
1753,0.00%,0.11%,96.20%,2.33%,0.77%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.38%,0.04%
1762,0.11%,80.33%,0.44%,0.11%,4.57%,0.11%,0.00%,0.00%,0.00%,1.95%,0.01%,9.85%,0.50%,2.03%
1790,0.00%,18.34%,5.36%,33.01%,41.73%,0.10%,0.00%,0.00%,0.00%,0.73%,0.00%,0.12%,0.29%,0.30%
1791,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1807,0.00%,16.95%,1.10%,0.54%,0.63%,0.35%,0.00%,0.00%,1.96%,77.37%,0.01%,0.13%,0.67%,0.30%
1810,0.00%,1.21%,5.27%,0.82%,3.55%,0.16%,0.00%,0.00%,0.02%,0.83%,0.01%,0.66%,43.64%,43.83%
1833,0.00%,0.29%,5.18%,5.39%,86.05%,0.02%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.75%,2.31%
1838,0.05%,47.32%,5.11%,3.15%,14.44%,0.11%,0.00%,0.00%,3.34%,13.37%,0.29%,2.44%,7.59%,2.78%
1841,0.00%,88.28%,0.14%,0.10%,0.16%,0.05%,0.00%,0.00%,1.42%,5.96%,0.01%,1.30%,0.65%,1.94%
1842,0.00%,0.31%,85.65%,12.08%,0.63%,0.60%,0.00%,0.00%,0.00%,0.63%,0.00%,0.01%,0.05%,0.04%
1850,0.00%,0.20%,20.81%,75.24%,2.71%,0.27%,0.00%,0.00%,0.00%,0.03%,0.00%,0.11%,0.20%,0.45%
1858,0.11%,1.46%,2.33%,2.31%,3.95%,0.91%,0.00%,0.00%,0.03%,0.19%,0.01%,0.06%,61.72%,26.93%
1878,0.00%,11.55%,1.65%,0.39%,0.72%,0.10%,0.00%,0.00%,0.00%,7.96%,0.00%,4.59%,43.76%,29.27%
189,0.00%,4.65%,17.06%,1.12%,0.46%,0.08%,0.00%,0.00%,0.00%,3.10%,0.00%,0.16%,17.30%,56.05%
1890,0.00%,0.05%,92.72%,4.80%,1.66%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.57%,0.13%
1897,0.00%,17.21%,0.82%,1.52%,3.48%,0.32%,0.00%,0.00%,0.00%,28.48%,0.00%,3.26%,29.61%,15.29%
1914,99.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
1934,0.00%,7.06%,59.74%,27.82%,0.41%,0.20%,0.00%,0.03%,0.02%,1.49%,0.03%,0.07%,2.94%,0.18%
1935,0.00%,49.92%,27.89%,4.23%,7.54%,0.15%,0.00%,0.03%,0.03%,3.50%,0.00%,0.02%,0.66%,6.02%
1940,0.00%,51.15%,3.92%,0.68%,0.18%,0.02%,0.00%,0.00%,0.00%,0.42%,0.00%,0.28%,40.84%,2.50%
1948,0.01%,2.21%,5.66%,1.86%,17.83%,0.04%,0.00%,0.00%,0.00%,60.30%,0.00%,0.57%,8.10%,3.43%
1950,0.00%,1.19%,9.78%,34.35%,36.94%,1.15%,0.00%,0.00%,0.00%,1.77%,0.00%,0.10%,1.10%,13.63%
1967,0.00%,11.70%,4.14%,4.57%,2.65%,0.28%,0.00%,0.00%,0.02%,0.04%,0.43%,0.29%,64.16%,11.71%
1975,0.00%,0.38%,0.07%,0.06%,0.07%,0.00%,0.00%,0.03%,0.00%,0.87%,0.00%,0.09%,49.51%,48.92%
1976,0.00%,0.52%,0.21%,0.18%,0.11%,0.01%,0.00%,0.02%,0.00%,1.60%,0.00%,0.15%,56.36%,40.84%
1993,0.00%,0.79%,0.02%,0.01%,0.02%,0.00%,0.00%,0.00%,0.00%,0.53%,0.00%,98.08%,0.47%,0.08%
1998,0.00%,0.05%,9.46%,41.37%,48.24%,0.01%,0.00%,0.00%,0.00%,0.04%,0.00%,0.04%,0.07%,0.72%
2004,0.00%,9.98%,0.63%,0.26%,0.73%,0.04%,0.00%,0.00%,0.00%,0.40%,0.00%,0.31%,47.43%,40.21%
2007,0.00%,0.04%,82.85%,3.20%,10.55%,0.05%,0.00%,0.00%,0.00%,0.12%,0.00%,0.96%,1.67%,0.55%
2008,0.00%,0.34%,11.56%,7.44%,77.91%,0.10%,0.00%,0.00%,0.00%,0.25%,0.00%,0.38%,0.85%,1.16%
2017,0.00%,1.03%,2.65%,81.26%,4.59%,0.15%,0.00%,0.00%,0.00%,1.73%,0.00%,0.36%,6.97%,1.25%
2018,0.00%,0.41%,12.86%,10.12%,67.13%,0.07%,0.00%,0.00%,0.00%,1.20%,0.00%,0.21%,5.04%,2.96%
203,0.00%,0.30%,4.32%,35.93%,30.21%,0.03%,0.00%,0.00%,0.02%,8.44%,0.01%,0.11%,20.17%,0.46%
2030,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2036,0.00%,99.58%,0.04%,0.01%,0.05%,0.00%,0.00%,0.00%,0.00%,0.14%,0.00%,0.06%,0.11%,0.01%
2049,0.00%,0.36%,1.28%,4.06%,1.14%,91.48%,0.00%,0.00%,0.00%,0.20%,0.00%,0.17%,0.95%,0.36%
2051,0.04%,37.28%,1.36%,1.10%,2.03%,0.04%,0.00%,0.00%,8.51%,32.17%,0.01%,0.70%,16.19%,0.55%
2052,0.00%,45.74%,0.79%,0.11%,0.18%,0.06%,0.00%,0.00%,2.31%,5.40%,0.00%,11.52%,10.27%,23.62%
2061,1.19%,37.58%,0.63%,0.36%,0.09%,0.01%,0.00%,0.00%,0.00%,16.95%,0.00%,32.78%,9.59%,0.84%
2068,0.00%,0.28%,29.88%,54.40%,12.18%,0.07%,0.00%,0.00%,0.00%,0.93%,0.00%,0.42%,1.03%,0.82%
2075,0.00%,3.31%,54.78%,38.84%,2.09%,0.07%,0.00%,0.00%,0.00%,0.14%,0.00%,0.01%,0.46%,0.31%
2094,0.14%,2.59%,1.61%,5.32%,2.98%,0.03%,0.01%,0.13%,0.00%,14.33%,0.00%,0.17%,65.87%,6.83%
2097,0.00%,0.08%,1.49%,86.91%,10.93%,0.01%,0.00%,0.00%,0.00%,0.09%,0.00%,0.02%,0.40%,0.07%
2102,0.02%,5.34%,1.52%,6.39%,1.04%,30.45%,0.00%,0.00%,1.14%,39.65%,0.02%,2.78%,8.71%,2.93%
2105,0.00%,9.98%,0.79%,1.21%,0.48%,0.17%,0.00%,0.00%,0.04%,1.72%,0.00%,0.79%,11.07%,73.75%
2123,0.03%,70.85%,0.74%,6.05%,3.21%,0.03%,0.00%,0.00%,0.00%,1.84%,0.01%,0.53%,12.06%,4.64%
2141,0.00%,2.26%,0.07%,0.12%,0.10%,0.00%,0.00%,0.00%,0.00%,0.38%,0.00%,0.27%,80.15%,16.65%
2147,0.02%,3.11%,0.23%,0.06%,0.05%,0.15%,0.00%,0.00%,87.22%,0.50%,0.00%,0.44%,7.36%,0.85%
2155,97.91%,1.08%,0.05%,0.06%,0.30%,0.01%,0.00%,0.00%,0.00%,0.52%,0.00%,0.03%,0.03%,0.02%
2157,0.00%,2.38%,7.30%,0.22%,0.20%,0.09%,0.00%,0.00%,0.00%,87.00%,0.00%,1.76%,0.27%,0.77%
2186,0.00%,1.03%,10.58%,1.83%,40.69%,0.71%,0.00%,0.00%,0.00%,1.77%,0.00%,15.05%,15.38%,12.95%
2211,0.01%,33.95%,4.13%,23.53%,8.35%,0.25%,0.00%,0.00%,2.07%,4.33%,0.00%,0.63%,8.84%,13.90%
2213,61.08%,30.91%,0.14%,0.05%,0.02%,0.01%,0.00%,0.00%,0.00%,1.51%,0.00%,5.08%,0.19%,1.02%
2224,0.02%,4.19%,1.52%,1.10%,1.85%,0.02%,0.00%,0.00%,0.13%,57.55%,0.00%,3.28%,27.36%,2.96%
2251,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
226,0.00%,34.27%,0.59%,0.38%,0.17%,0.02%,0.00%,0.00%,0.00%,1.89%,0.00%,0.63%,47.24%,14.79%
2294,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2304,0.00%,1.60%,0.74%,4.70%,22.54%,0.10%,0.00%,0.00%,46.30%,14.34%,0.09%,0.35%,8.70%,0.53%
2311,0.00%,0.01%,0.00%,0.00%,0.00%,99.92%,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,0.01%,0.03%
2323,0.03%,5.14%,1.43%,2.32%,4.49%,0.28%,0.00%,0.00%,0.00%,15.33%,0.00%,56.73%,10.96%,3.27%
234,0.00%,1.63%,0.16%,0.88%,0.34%,0.02%,0.00%,0.00%,0.00%,35.72%,0.00%,53.19%,2.67%,5.39%
2355,0.01%,15.13%,1.30%,1.97%,0.42%,0.02%,0.00%,0.00%,0.00%,5.82%,0.00%,0.04%,75.06%,0.25%
2356,0.00%,1.15%,0.18%,1.43%,0.48%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,5.23%,91.51%
2386,0.00%,57.52%,4.54%,11.25%,14.77%,0.29%,0.00%,0.00%,0.00%,0.24%,0.00%,0.77%,2.00%,8.61%
2392,0.00%,0.26%,0.31%,0.07%,0.44%,0.02%,0.00%,0.00%,0.00%,0.15%,0.00%,0.08%,33.68%,64.98%
2410,0.00%,0.46%,18.42%,61.87%,10.77%,2.04%,0.03%,0.00%,0.00%,0.73%,0.00%,0.01%,3.91%,1.75%
2429,0.00%,9.24%,2.29%,1.25%,1.47%,0.22%,0.17%,0.28%,11.54%,46.02%,0.06%,0.89%,1.18%,25.39%
2436,0.00%,0.28%,62.03%,8.50%,27.55%,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,0.30%,1.31%
2472,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2487,0.00%,29.23%,1.20%,6.17%,7.75%,0.34%,0.00%,0.00%,0.00%,1.19%,0.00%,2.83%,38.47%,12.82%
2497,0.00%,0.12%,0.21%,0.17%,1.38%,0.02%,0.00%,0.00%,0.00%,1.52%,0.00%,1.02%,46.49%,49.06%
2498,0.00%,2.40%,0.24%,0.35%,0.63%,0.01%,0.00%,0.00%,0.00%,29.22%,0.00%,61.50%,0.51%,5.16%
2505,0.00%,7.34%,3.11%,4.07%,3.09%,0.03%,0.00%,0.00%,0.00%,8.89%,0.00%,14.21%,17.10%,42.17%
2506,0.00%,22.69%,8.63%,18.44%,27.25%,0.06%,0.00%,0.00%,0.00%,0.32%,0.00%,0.21%,18.59%,3.81%
2509,0.00%,0.30%,1.97%,63.83%,20.58%,0.76%,0.00%,0.00%,0.00%,0.09%,0.00%,0.07%,0.23%,12.17%
251,0.00%,1.20%,5.46%,30.88%,58.23%,0.42%,0.00%,0.00%,0.00%,1.22%,0.00%,1.65%,0.23%,0.70%
2514,0.00%,4.02%,8.73%,0.74%,2.12%,0.04%,0.00%,0.00%,0.00%,1.57%,0.00%,0.35%,38.78%,43.65%
2539,0.00%,5.13%,8.70%,25.31%,58.22%,0.06%,0.00%,0.00%,0.02%,0.21%,0.00%,0.01%,1.24%,1.09%
2555,0.00%,98.86%,0.03%,0.09%,0.36%,0.01%,0.00%,0.00%,0.00%,0.02%,0.00%,0.06%,0.07%,0.49%
2570,99.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
258,0.11%,59.72%,0.18%,0.07%,0.11%,0.01%,0.00%,0.00%,0.00%,32.25%,0.00%,5.60%,1.43%,0.53%
2594,0.00%,4.92%,1.65%,0.54%,0.35%,3.99%,0.00%,0.10%,0.35%,14.50%,0.11%,0.40%,33.14%,39.95%
2625,0.00%,3.41%,1.15%,0.32%,0.73%,0.06%,0.00%,0.00%,0.06%,0.52%,0.00%,0.99%,2.37%,90.38%
2642,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2647,0.00%,93.00%,0.06%,0.16%,0.08%,0.00%,0.00%,0.00%,0.00%,5.19%,0.00%,0.23%,1.22%,0.06%
2656,0.00%,2.59%,3.40%,4.79%,64.04%,0.16%,0.00%,0.00%,0.00%,0.37%,0.00%,0.10%,10.72%,13.82%
2666,0.00%,41.71%,3.16%,2.08%,7.58%,0.25%,0.00%,0.00%,0.00%,0.14%,0.00%,0.26%,34.76%,10.07%
2668,0.00%,1.05%,1.46%,3.50%,0.08%,46.24%,0.00%,0.00%,0.00%,0.22%,0.00%,10.16%,35.71%,1.59%
2687,0.00%,0.05%,10.31%,51.77%,27.16%,9.74%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.67%
2695,0.04%,1.45%,0.83%,0.41%,5.05%,0.07%,56.30%,3.57%,0.03%,27.80%,0.03%,0.04%,1.04%,3.35%
