"SitID","HorID","lng","lat","SitID1","SitID2","SitID3","SitID4","SitID5","SitID6","SitID7","SitID8","SitID9","SitID10","SitID11","SitID12","SitID13","SitID14","SitID15","SitID16","SitID17","SitID18","SitID19","SitID20"
143347,9500,-113.480468,56.087934,113219,113212,143229,113195,113204,113135,143467,143469,112418,143468,143069,113897,113198,112419,113117,112412,112399,112395,112423,113110
143347,10000,-113.480468,56.087934,113219,113212,143229,113195,113204,113135,143467,143469,112418,143468,143069,113897,113198,112419,113117,112412,112399,143470,112395,113905
143347,11000,-113.480468,56.087934,113219,113212,143229,113195,113204,113135,143467,112418,143468,143069,113897,113198,112419,113117,112412,112399,143470,112395,112423,113110
143347,12000,-113.480468,56.087934,113219,113212,143229,113195,113204,113135,143467,112418,143468,143069,113897,113198,112419,113117,112412,112399,143470,112395,112423,113110
143347,13000,-113.480468,56.087934,113219,113212,143229,113195,113204,113135,143467,112418,143468,143069,113897,113198,112419,113117,112412,112399,143470,112395,112423,113110
143347,14000,-113.480468,56.087934,113195,113204,113135,143467,143469,112418,143468,143069,113897,112419,112412,112399,143470,112423,113110,111805,154013,113887,113889,143613
178521,1000,-112.044856,55.826208,111757,178437,111754,142716,178522,111764,111761,111053,111052,111763,111051,178604,112355,112347,112350,112358,110409,112344,170644,164142
178521,5000,-112.044856,55.826208,111757,178437,111754,142716,178522,111764,111761,111053,178435,111763,111051,178604,112347,112350,112358,110409,170644,164142,110405,111747
178521,7000,-112.044856,55.826208,111757,178437,111754,142716,178522,111764,111761,111053,178435,111763,178604,112347,112350,112358,110409,170644,164142,110405,111747,111060
178521,9000,-112.044856,55.826208,111757,178437,111754,142716,178522,111764,111761,111053,178435,111052,111763,111051,178604,112347,112350,112358,110409,170644,164142,110405
178521,9500,-112.044856,55.826208,111757,178437,111754,142716,178522,111764,111761,111053,178435,111052,111763,111051,178604,112347,112350,112358,110409,170644,164142,110405
178521,10000,-112.044856,55.826208,111757,178437,111754,142716,178522,111764,111761,111053,178435,111052,111763,111051,178604,112347,112350,112358,110409,170644,164142,112356
178521,11000,-112.044856,55.826208,111757,178437,111754,142716,178522,111764,111761,111053,178435,111052,111763,111051,178604,112347,112350,112358,110409,170644,164142,112356
178521,12000,-112.044856,55.826208,111757,178437,111754,142716,178522,111764,111761,111053,178435,111052,111763,111051,178604,112347,112350,112358,110409,170644,164142,110405
178521,13000,-112.044856,55.826208,111757,178437,111754,142716,178522,111764,111761,111053,178435,111052,111763,111051,178604,112347,112350,112358,110409,170644,164142,110405
178521,14000,-112.044856,55.826208,111757,178437,111754,142716,111764,111761,111053,111052,111763,111051,178604,112347,112350,112358,110409,170644,164142,110405,111747,111060
178271,1000,-113.580044,55.506278,153655,108840,153654,110003,108819,108829,108821,108184,142210,108843,108190,110468,108187,111100,111101,108805,111110,108176,108186,108854
178271,5000,-113.580044,55.506278,153655,108840,153654,110003,108819,108829,108821,108184,142210,109997,108843,108190,110468,108187,111100,111101,108805,111110,108176,108186
178271,7000,-113.580044,55.506278,153655,108840,153654,108813,110003,108819,108829,108821,108184,142210,109997,108843,108178,108190,110468,108187,111100,111101,108805,111110
178271,9000,-113.580044,55.506278,153655,108840,153654,110003,108819,108829,108821,108184,142210,109997,108843,108190,110468,108187,111100,111101,108805,111110,108176,108186
178271,9500,-113.580044,55.506278,153655,108840,153654,110003,108819,108829,108821,108184,142210,109997,108843,108190,110468,108187,111100,111101,108805,111110,108176,108186
178271,10000,-113.580044,55.506278,153655,108840,153654,110003,108819,108829,108821,108184,142210,109997,108843,108187,111100,111101,108805,111110,108176,108186,107399,111105
178271,11000,-113.580044,55.506278,153655,108840,153654,110003,108819,108829,108821,108184,142210,109997,108843,110468,108187,111100,111101,108805,111110,108176,108186,110475
178271,12000,-113.580044,55.506278,153655,108840,153654,110003,108819,108829,108821,108184,142210,109997,108843,110468,108187,111100,111101,108805,111110,108176,108186,110475
178271,13000,-113.580044,55.506278,153655,108840,153654,110003,108819,108829,108821,108184,142210,109997,108843,110468,108187,111100,111101,108805,111110,108176,108186,110475
114301,5000,-110.167132,56.219164,143455,154104,154224,111656,113801,111657,154449,143555,112287,111658,114306,142889,111667,110983,142890,170722,154453,113804,110982,142696
114301,7000,-110.167132,56.219164,143455,154104,154224,111656,113801,111657,154449,143555,111658,114306,142889,111667,110983,112290,142890,170722,154453,110982,142696,142534
114301,9000,-110.167132,56.219164,114754,116092,143455,154104,154224,111656,113801,111657,154449,143555,111658,114306,142889,111667,110983,142890,170722,154453,110982,110326
114301,9500,-110.167132,56.219164,114754,116092,143455,154104,154224,111656,113801,111657,154449,143555,111658,114306,142889,111667,110983,142890,170722,154453,110982,110326
114301,10000,-110.167132,56.219164,143455,154104,154224,111656,113801,111657,154449,143555,111658,114306,142889,111667,110983,142890,170722,154453,110982,142696,142534,111664
114301,11000,-110.167132,56.219164,112992,143455,154104,154224,111656,113801,111657,154449,143555,112287,111658,114306,142889,111667,110983,142890,170722,154453,110982,142696
114301,12000,-110.167132,56.219164,143455,154104,154224,111656,113801,111657,154449,143555,111658,114306,142889,111667,110983,112282,142890,170722,154453,110982,142696,142534
114301,13000,-110.167132,56.219164,143455,154104,154224,111656,113801,111657,154449,143555,111658,114306,142889,111667,110983,112282,142890,170722,154453,110982,142696,142534
114301,14000,-110.167132,56.219164,143455,154104,154224,111656,113801,111657,154449,143555,111658,114306,142889,111667,110983,142890,154453,110982,142696,142534,111664,113808
141810,1000,-111.102157,54.909749,141802,141809,141805,102626,141799,141807,102615,102620,141732,153286,153283,141811,153340,141803,102619,102610,153287,102614,103744,102611
141810,5000,-111.102157,54.909749,141802,153285,141809,141805,102626,141799,141807,153284,102615,102620,141732,153286,153283,141811,153340,141803,102619,102610,153287,102614
