"SitID","DEPT","DPHI","GR","ILD","NPHI","HorID"
153893,568,0.164,86.847,8.39,0.32,12000
153893,568,0.164,86.847,8.39,0.32,13000
153893,598.5,0.056,48.655,2.941,0.135,14000
142536,204,0.224,99.234,3.89,0.496,1000
142536,337,0.275,82.687,5.359,0.501,5000
142536,349,0.268,85.755,2.729,0.497,7000
142536,353,0.246,101.088,3.75,0.484,9000
142536,353,0.246,101.088,3.75,0.484,9500
142536,356,0.225,91.427,3.793,0.461,10000
142536,362.5,0.261,82.125,3.277,0.427,11000
142536,362.5,0.261,82.125,3.277,0.427,12000
142536,362.5,0.261,82.125,3.277,0.427,13000
142536,462,0.231,24.179,10.575,0.335,14000
153741,258,0.198,102.706,8.454,0.437,1000
153741,412,0.175,110.653,7.659,0.441,5000
153741,425,0.172,110.524,6.707,0.49,7000
153741,432,0.138,116.124,4.778,0.423,9000
153741,432,0.138,116.124,4.778,0.423,9500
153741,436,0.114,118.171,10.084,0.373,10000
153741,436,0.114,118.171,10.084,0.373,14000
111658,156,0.194,73.967,4.517,0.444,1000
111658,284.5,0.259,96.678,3.21,0.59,5000
111658,297,0.239,77.757,2.724,0.582,7000
111658,303.5,0.226,83.65,3.914,0.498,9000
111658,303.5,0.226,83.65,3.914,0.498,9500
111658,305,0.199,88.695,4.387,0.486,10000
111658,309.5,0.221,81.374,3.1,0.449,11000
111658,309.5,0.221,81.374,3.1,0.449,12000
111658,309.5,0.221,81.374,3.1,0.449,13000
111658,395.5,0.175,40.087,2.87,0.443,14000
170644,302,0.278,109.004,7.866,0.39,1000
170644,449,0.263,83.103,4.1,0.37,5000
170644,464.5,0.249,95.029,2.107,0.44,7000
170644,468.5,0.121,94.737,5.467,0.376,9000
170644,468.5,0.121,94.737,5.467,0.376,9500
170644,474.5,0.116,96.705,5.493,0.362,10000
170644,477,0.248,76.877,10.878,0.34,11000
170644,477,0.248,76.877,10.878,0.34,12000
170644,477,0.248,76.877,10.878,0.34,13000
170644,529,0.135,28.74,4.407,0.337,14000
106649,413,0.288,83.948,3.899,0.486,1000
106649,536,0.133,81.894,11.065,0.228,4000
106649,560.5,0.142,100.566,6.848,0.368,5000
106649,575,0.156,106.863,3.701,0.482,7000
106649,581,0.134,91.612,5.511,0.416,9000
106649,581,0.134,91.612,5.511,0.416,9500
106649,584,0.129,101.52,5.117,0.418,10000
106649,593.5,0.096,96.92,7.944,0.259,11000
106649,593.5,0.096,96.92,7.944,0.259,12000
106649,593.5,0.096,96.92,7.944,0.259,13000
106649,601,0.164,73.427,64.297,0.393,14000
142555,204,0.253,99.514,5.313,0.477,1000
142555,344,0.267,85.475,4.925,0.435,5000
142555,360,0.265,94.323,2.726,0.565,7000
142555,364.5,0.22,100.859,3.247,0.487,9000
142555,364.5,0.22,100.859,3.247,0.487,9500
142555,367,0.189,98.648,4.127,0.437,10000
142555,372,0.235,74.74,14.31,0.399,11000
142555,372,0.235,74.74,14.31,0.399,12000
142555,372,0.235,74.74,14.31,0.399,13000
142555,422,0.071,52.783,5.171,0.317,14000
107285,311,0.36,48.049,5.608,0.413,1000
107285,444,0.271,96.628,4.529,0.441,5000
107285,459,0.261,89.729,3.407,0.439,7000
107285,463,0.231,85.593,5.791,0.391,9000
107285,465.5,0.243,91.701,4.367,0.471,9500
107285,471,0.194,95.463,3.623,0.416,10000
107285,480,0.236,90.842,12.514,0.364,11000
107285,480,0.236,90.842,12.514,0.364,12000
107285,480,0.236,90.842,12.514,0.364,13000
107285,525,0.203,76.48,5.303,0.356,14000
108294,365,0.289,100.477,3.029,0.449,1000
108294,526,0.265,89.112,5.268,0.47,4000
108294,560,0.161,110.396,4.56,0.357,5000
108294,573,0.337,90.506,2.184,0.465,7000
108294,580,0.308,97.84,2.776,0.487,11000
108294,580,0.308,97.84,2.776,0.487,12000
108294,580,0.308,97.84,2.776,0.487,13000
108294,587.5,0.234,86.024,10.499,0.33,14000
142461,211,0.23,104.407,3.581,0.473,1000
142461,342,0.26,77.276,5.114,0.448,5000
142461,355.5,0.247,83.81,3.145,0.454,7000
142461,359.5,0.235,93.206,3.497,0.485,9000
142461,359.5,0.235,93.206,3.497,0.485,9500
142461,362.5,0.23,96.378,4.18,0.455,10000
142461,368.5,0.272,91.568,4.765,0.45,11000
142461,368.5,0.272,91.568,4.765,0.45,12000
142461,368.5,0.272,91.568,4.765,0.45,13000
142461,444,0.325,24.538,3.683,0.352,14000
109946,296.5,0.219,93.663,6.644,0.413,1000
109946,453,0.191,93.04,8.535,0.366,5000
109946,464,0.208,105.452,3.818,0.407,7000
