SitID,lng,lat
105708,-111.566114,55.102303
105711,-111.769689,55.033053
105717,-111.769707,55.058528
105718,-111.776028,55.076579
105720,-111.744183,55.09129
105722,-111.953693,55.029452
105724,-111.877566,55.043803
105729,-111.909252,55.072952
105730,-111.877633,55.087517
105734,-112.125386,55.102133
105735,-112.112443,55.102141
105739,-112.284215,55.033105
105746,-112.252566,55.058615
105751,-112.258853,55.069453
105754,-112.220834,55.109595
105758,-112.411415,55.043945
105762,-112.303414,55.062182
105767,-112.309689,55.087657
105772,-112.315874,55.105799
105777,-112.513091,55.062178
105784,-112.589397,55.105781
105785,-112.48142,55.10211
105788,-112.64015,55.091302
105792,-112.830976,55.036766
105794,-112.786325,55.058621
105860,-113.548895,55.033087
105875,-113.580581,55.076674
105883,-113.605924,55.102148
105885,-113.713816,55.033085
105897,-113.732908,55.073039
105901,-113.879462,55.044011
105903,-113.962082,55.058628
105905,-113.853954,55.076685
105907,-113.930341,55.105896
105908,-113.981169,55.029894
105909,-113.987447,55.048169
105911,-114.145092,55.04867
105912,-114.043412,55.059667
105915,-114.068882,55.092398
105917,-114.11968,55.106837
105920,-114.189639,55.048675
105922,-114.221262,55.070554
105926,-114.164345,55.110387
105929,-114.379929,55.02706
105963,-114.348363,55.10324
105964,-114.469118,55.03421
105968,-114.577046,55.059671
105971,-114.462846,55.074134
105983,-114.729482,55.034211
105984,-114.678677,55.048673
105987,-114.735677,55.074138
105989,-114.653276,55.077759
106445,-110.008948,55.153249
106446,-110.61826,55.150084
106447,-110.566844,55.160944
106448,-110.657029,55.150095
106450,-110.740431,55.160936
106452,-110.631343,55.179175
106455,-110.804753,55.150109
106457,-110.888007,55.150116
106458,-110.779113,55.164536
106460,-110.919978,55.175579
106462,-110.990574,55.150138
106463,-111.048231,55.150131
106465,-110.964931,55.164587
106469,-111.06756,55.193667
106472,-111.093212,55.150118
106475,-111.118836,55.164582
106477,-111.150787,55.175611
106479,-111.125162,55.193674
106480,-111.330216,55.124667
106489,-111.381497,55.175603
106492,-111.253294,55.190058
106494,-111.509712,55.121044
106501,-111.413392,55.146516
106503,-111.535356,55.160965
106507,-111.44576,55.197299
106508,-111.554667,55.121029
106512,-111.637923,55.135496
106518,-111.663566,55.179217
106519,-111.61228,55.193678
106524,-111.772378,55.153749
106526,-111.811073,55.164585
106527,-111.71485,55.17921
106529,-111.836711,55.179211
106532,-111.919957,55.135496
106533,-111.996873,55.150114
106534,-111.971234,55.179216
106537,-112.093102,55.164585
106538,-112.073793,55.164584
106540,-112.150712,55.179202
106544,-112.201995,55.121033
106547,-112.304562,55.128244
106548,-112.221304,55.135491
106552,-112.432793,55.135485
106553,-112.400815,55.135482
106554,-112.323873,55.146498
106555,-112.381479,55.190043
106556,-112.535373,55.117347
106558,-112.612268,55.160945
106562,-112.477737,55.160957
106569,-112.714788,55.121037
106580,-112.708429,55.193659
106600,-112.926309,55.179152
106602,-112.797998,55.186426
106608,-112.990573,55.150072
106617,-112.958624,55.168123
106621,-112.996869,55.19363
106626,-113.233851,55.117232
106644,-113.381231,55.131826
106645,-113.278779,55.13183
106649,-113.298073,55.157331
106650,-113.355674,55.175552
106656,-113.400609,55.160913
106659,-113.4776,55.193603
106661,-113.682784,55.150011
106662,-113.637832,55.164496
106663,-113.682823,55.193553
106665,-113.586557,55.197188
106669,-113.843109,55.11723
106673,-113.836719,55.150046
106674,-113.791758,55.160885
106676,-113.734135,55.179118
106679,-113.939148,55.135682
106680,-113.91352,55.150234
106681,-113.945485,55.150346
106682,-113.990523,55.161346
106685,-114.069445,55.121506
106687,-114.152485,55.132293
106698,-114.043789,55.176031
106700,-114.120649,55.17602
106701,-114.1592,55.117839
106707,-114.223086,55.161347
106710,-114.268012,55.175972
106735,-114.434426,55.164932
106754,-114.524411,55.114258
106804,-114.49877,55.164973
106820,-114.601351,55.175983
106838,-114.620666,55.139488
106840,-114.768088,55.146887
107168,-110.008902,55.284336
107170,-110.592552,55.204661
107171,-110.534867,55.237373
107173,-110.554227,55.262848
107174,-110.611991,55.262825
107175,-110.637686,55.204653
107178,-110.766117,55.208263
107181,-110.702059,55.233757
107183,-110.669635,55.266454
107188,-110.874949,55.208298
107193,-110.919978,55.230192
107196,-110.874948,55.266478
107199,-110.836724,55.280927
107201,-110.939288,55.208289
107204,-111.041882,55.222768
107209,-110.96493,55.251852
107215,-111.07386,55.280926
107222,-111.170083,55.219155
107223,-111.099537,55.219138
107230,-111.125161,55.266483
107232,-111.195707,55.266491
107236,-111.330216,55.201142
107239,-111.330215,55.219165
107246,-111.246961,55.266483
